"","SubjID","@1A","@1B","@1C","@1D","@1E","@2A","@2B","@2C","@2D","@2E","@3A","@3B","@3C","@3D","@3E","@4A","@4B","@4C","@4D","@4E","@5A","@5B","@5C","@5D","@5E","@6A","@6B","@6C","@6D","@6E","@7A","@7B","@7C","@7D","@7E","@8A","@8B","@8C","@8D","@8E","c1understandingothers","c2expcomm","c3assert","c4feedback","c5influence","c6dispute","c7teamwork","c8flex","OverallScore"
"1",1,3,3,3,3,3,1,2,2,3,1,4,3,2,3,4,2,3,3,3,3,1,3,3,4,2,1,3,1,1,3,3,3,1,3,1,1,1,2,2,3,60,36,64,56,52,36,44,36,48
"2",2,3,4,3,2,3,3,3,3,4,2,3,1,3,3,4,3,4,3,3,3,3,4,3,3,4,3,1,3,2,1,2,1,1,3,1,1,2,2,1,3,60,60,56,64,68,40,32,36,52
"3",3,3,3,4,3,3,4,3,3,4,4,4,2,4,2,3,4,4,4,4,4,4,4,3,3,3,3,1,2,2,1,3,3,2,1,1,1,2,1,3,1,64,72,60,80,68,36,40,32,56.5
"4",4,3,4,3,4,4,4,4,4,3,3,4,3,4,3,4,4,4,4,3,4,3,4,3,4,4,3,1,3,1,1,1,3,3,1,1,3,3,2,2,1,72,72,72,76,72,36,36,44,60
"5",5,4,3,4,4,3,4,4,3,3,3,3,2,4,3,4,4,4,4,4,3,4,4,1,3,4,3,1,3,1,1,1,1,2,1,1,3,3,1,3,1,72,68,64,76,64,36,24,44,56
"6",6,4,4,3,4,4,2,2,2,2,1,3,1,3,3,4,4,4,3,2,2,3,4,3,3,3,1,3,3,1,1,3,3,2,3,3,3,3,1,3,2,76,36,56,60,64,36,56,48,54
"7",7,4,4,3,4,4,2,4,3,2,4,4,4,3,4,4,4,4,3,2,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,76,60,76,64,76,60,60,60,66.5
"8",8,3,3,3,3,3,3,3,3,3,2,2,2,2,3,1,3,3,1,1,3,3,3,2,2,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,60,56,40,44,48,36,20,20,40.5
"9",9,4,4,3,2,4,4,4,3,4,1,3,4,2,4,2,3,3,3,2,2,3,4,4,4,4,3,3,1,2,1,1,3,1,2,1,2,3,3,1,1,68,64,60,52,76,40,32,40,54
"10",10,4,3,3,2,1,4,4,4,3,3,3,2,1,4,2,3,4,3,2,3,1,2,1,4,4,3,2,3,2,1,1,3,2,3,3,1,2,2,3,3,52,72,48,60,48,44,48,44,52
"11",11,4,3,3,4,4,4,3,4,4,2,2,1,4,3,3,3,2,2,2,3,3,4,4,2,4,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,72,68,52,48,68,28,20,20,47
"12",12,4,3,2,3,3,4,3,2,3,4,4,4,2,4,4,3,4,4,4,4,4,3,4,3,4,2,3,3,3,1,1,1,3,1,1,3,1,3,1,1,60,64,72,76,72,48,28,36,57
"13",13,3,4,4,3,3,3,3,4,3,4,3,2,3,3,4,3,4,3,4,3,2,4,3,3,3,3,2,3,3,3,3,1,3,1,3,1,1,3,3,2,68,68,60,68,60,56,44,40,58
"14",14,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,4,3,2,1,4,3,3,1,3,1,3,3,1,3,3,2,3,3,2,3,60,60,60,52,56,44,52,52,54.5
"15",15,4,4,3,2,3,1,4,2,2,3,3,4,1,3,3,4,4,3,4,4,2,1,2,2,3,3,1,3,1,1,1,1,3,3,3,3,3,3,3,3,64,48,56,76,40,36,44,60,53
"16",16,4,3,4,1,3,3,4,4,4,1,4,1,4,1,4,4,4,4,3,4,4,4,2,3,4,2,3,3,1,3,3,1,3,3,3,1,1,2,3,1,60,64,56,76,68,48,52,32,57
"17",17,3,2,3,2,3,4,3,3,2,4,3,2,4,3,3,4,4,3,3,3,4,3,4,3,4,2,2,2,3,3,3,3,2,3,3,2,3,2,2,3,52,64,60,68,72,48,56,48,58.5
"18",18,3,3,4,4,3,3,4,3,3,3,2,3,4,4,4,4,3,4,3,4,2,4,4,3,4,3,3,3,3,3,3,3,1,3,3,1,3,3,1,3,68,64,68,72,68,60,52,44,62
"19",19,4,3,4,3,3,3,3,3,3,3,2,1,3,3,4,1,3,2,3,3,2,3,3,3,3,3,3,1,1,1,1,1,1,2,1,2,3,1,1,2,68,60,52,48,56,36,24,36,47.5
"20",20,3,3,2,3,3,3,1,3,3,2,2,3,2,1,3,3,3,4,2,3,3,3,1,3,3,2,3,3,2,1,1,1,1,2,3,3,2,3,2,3,56,48,44,60,52,44,32,52,48.5
"21",21,4,3,4,3,2,3,3,2,3,3,3,2,4,2,3,3,4,4,4,4,3,3,2,3,3,2,1,2,3,2,2,1,2,2,2,1,2,1,2,2,64,56,56,76,56,40,36,32,52
"22",22,4,2,4,3,2,4,2,3,3,3,3,1,2,2,3,4,4,4,4,4,2,1,3,3,4,3,3,3,1,3,1,3,3,3,3,3,3,1,3,3,60,60,44,80,52,52,52,52,56.5
"23",23,3,3,3,2,2,3,3,2,4,3,2,2,3,3,3,3,3,3,3,4,3,2,2,2,3,3,1,3,1,3,1,3,3,1,1,3,1,1,1,1,52,60,52,64,48,44,36,28,48
"24",24,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,3,1,3,3,1,2,3,1,3,3,2,60,60,60,60,60,48,40,48,54.5
"25",25,4,3,4,2,3,3,2,2,1,3,3,2,3,3,3,3,2,3,3,4,2,3,2,1,4,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,64,44,56,60,48,44,20,20,44.5
"26",26,4,3,4,4,3,4,3,4,3,2,3,1,3,3,3,3,4,4,4,3,3,4,1,3,3,2,1,3,1,1,3,1,3,3,1,3,1,3,1,1,72,64,52,72,56,32,44,36,53.5
"27",27,3,2,3,3,3,2,3,2,3,2,3,3,3,3,4,2,3,3,2,4,3,3,3,2,3,1,1,3,3,1,1,3,2,1,3,3,2,3,1,3,56,48,64,56,56,36,40,48,50.5
"28",28,3,4,4,4,3,4,4,4,4,4,3,4,2,4,4,4,3,4,4,4,4,4,1,4,4,3,3,1,1,1,3,3,1,1,1,3,2,2,3,3,72,80,68,76,68,36,36,52,61
"29",29,3,1,2,4,2,2,2,2,3,2,2,2,3,2,3,3,3,3,3,2,2,3,3,2,2,3,2,3,2,3,3,1,3,3,1,3,2,2,3,1,48,44,48,56,48,52,44,44,48
"30",30,3,3,2,3,2,3,3,3,2,2,2,3,2,2,2,3,3,3,2,2,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,52,52,44,52,60,20,20,24,40.5
"31",31,3,4,3,3,4,3,3,3,2,3,2,3,2,2,3,3,3,3,3,4,3,3,2,3,3,3,2,1,1,1,1,1,1,3,3,3,1,3,3,3,68,56,48,64,56,32,36,52,51.5
"32",32,3,1,4,4,2,4,3,4,4,2,2,3,2,2,3,4,4,4,3,3,2,1,3,3,2,1,1,3,3,1,1,3,3,1,1,3,3,2,1,1,56,68,48,72,44,36,36,40,50
"33",33,3,4,4,4,3,3,2,2,1,3,3,1,3,2,2,3,2,2,3,3,3,4,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,72,44,44,52,64,20,20,20,42
"34",34,2,2,3,2,1,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,1,1,4,3,3,3,2,1,1,1,1,1,3,3,1,3,3,2,1,3,40,40,44,44,48,32,36,48,41.5
